name,Mname,rname,lng0,lat0,lng1,lat1,Tposts
波斯尼亚和黑塞哥维那,Bosnia and Herzegovina,EURO,12.53,55.68,18.5,43.83,1
波兰,Poland（欧盟国家）,EURO,12.53,55.68,21.08,52.28,1
土耳其,Turkey,EURO,12.53,55.68,32.79,39.91,1
乌克兰,Ukraine,EURO,12.53,55.68,30.53,50.38,1
