name,Mname,rname,lng0,lat0,lng1,lat1,Tposts
文莱达鲁萨兰国,Brunei Darussalam,WPRO,120.98,14.59,114.85,4.88,1
马来西亚,Malaysia,WPRO,120.98,14.59,101.66,3.07,1
菲律宾,Philippines,WPRO,120.98,14.59,120.98,14.59,1
新加坡,Singapore,WPRO,120.98,14.59,103.86,1.29,1
