name,Mname,rname,lng0,lat0,lng1,lat1,Tposts
印度尼西亚,Indonesia,SEARO,77.13,28.66,106.77,-6.18,1
斯里兰卡,Sri Lanka,SEARO,77.13,28.66,79.84,6.93,1
泰国,Thailand,SEARO,77.13,28.66,100.58,13.72,1
