name,Mname,Region,lng,lat,country,date,Ffollowers,Fadius,posts
格鲁吉亚,Georgia,EURO,44.8,41.68,1,2020/12/11,6.8,0.068,9
匈牙利,Hungary(欧盟国家）,EURO,19.14,47.45,1,2011/11/21,7.4,0.074,10
哈萨克斯坦,Kazakhstan,EURO,71.34,51.17,1,2020/2/6,1.6,0.016,6
北马其顿,North Macedonia,EURO,21.51,42,1,2017/5/24,4.3,0.043,7
波兰,Poland（欧盟国家）,EURO,21.08,52.28,1,2020/9/22,1,0.01,8
摩尔多瓦共和国,Republic of Moldova,EURO,28.86,47.05,1,2016/2/11,16.7,0.167,9
塞尔维亚,Serbia,EURO,20.54,44.72,1,2014/5/20,1.9,0.019,10
塔吉克斯坦,Tajikistan,EURO,68.79,38.6,1,2020/6/18,1.6,0.016,6
土耳其,Turkey,EURO,32.79,39.91,1,2018/5/25,7.8,0.078,7
乌克兰,Ukraine,EURO,30.53,50.38,1,2012/10/5,26,0.26,8
乌兹别克斯坦,Uzbekistan,EURO,69.3,41.24,1,2011/6/3,19,0.19,9
阿富汗,Afghanistan,EMRO,69.17,34.49,1,2011/12/12,85,0.85,11
巴林,Bahrain,EMRO,50.5,26.19,1,2021/7/18,0.8,0.008,12
埃及,Egypt,EMRO,31.3,30.09,1,2016/7/17,832,8.32,13
伊拉克,Iraq,EMRO,44.37,33.37,1,2020/7/2,62,0.62,14
约旦,Jordan,EMRO,35.98,31.9,1,2012/11/19,28,0.28,15
黎巴嫩,Lebanon,EMRO,35.52,33.8,1,2014/3/11,20,0.2,11
利比亚,Libya,EMRO,13.19,32.85,1,2016/5/31,409,4.09,12
摩洛哥,Morocco,EMRO,-6.86,33.95,1,2019/3/25,3.8,0.038,13
阿曼,Oman,EMRO,58.57,23.54,1,2017/11/20,10,0.1,14
巴基斯坦,Pakistan,EMRO,73.01,33.7,1,2020/11/30,701,7.01,15
索马里,Somalia,EMRO,45.32,2.08,1,2020/6/24,4.9,0.049,11
苏丹,Sudan,EMRO,32.56,15.56,1,2013/1/28,53,0.53,12
阿拉伯叙利亚共和国,Syrian Arab Republic,EMRO,36.29,33.5,1,2020/6/26,14,0.14,13
突尼斯,Tunisia,EMRO,10.15,36.79,1,2019/4/3,34,0.34,14
也门,Yemen,EMRO,44.19,15.4,1,2014/6/3,152,1.52,15
