name,Mname,rname,lng0,lat0,lng1,lat1,Tposts
刚果民主共和国,Democratic Republic of the Congo,AFRO,15.2,-4.24,15.31,-4.43,1
加纳,Ghana,AFRO,15.2,-4.24,-0.2,5.53,1
肯尼亚,Kenya,AFRO,15.2,-4.24,36.82,-1.28,1
纳米比亚,Namibia,AFRO,15.2,-4.24,17.05,-22.61,1
尼日利亚,Nigeria,AFRO,15.2,-4.24,7.17,9.21,1
