name,Mname,rname,lng0,lat0,lng1,lat1,Tposts
阿根廷,Argentina,AMRO,-76.91,38.82,-58.38,-34.6,1
玻利维亚（多民族国）,Bolivia (Plurinational State of),AMRO,-76.91,38.82,-68.13,-16.48,1
智利,Chile,AMRO,-76.91,38.82,-70.59,-33.4,1
哥伦比亚,Colombia,AMRO,-76.91,38.82,-74.09,4.58,1
洪都拉斯,Honduras,AMRO,-76.91,38.82,-87.2,14.03,1
巴拉圭,Paraguay,AMRO,-76.91,38.82,-57.51,-25.28,1
秘鲁,Peru,AMRO,-76.91,38.82,-77.01,-12.07,1
