Australian_Airport,International,Australian_lon,Australian_lat,International_lon,International_lat
Mongolia,WPRO,120.92,14.53,106.95,48.03
Papua New Guinea,WPRO,120.92,14.53,147.2,-9.45
Philippines,WPRO,120.92,14.53,120.98,14.59
Solomon Islands,WPRO,120.92,14.53,159.98,-9.53
Viet Nam,WPRO,120.92,14.53,105.8,21.01
Brunei Darussalam,WPRO,120.92,14.53,114.85,4.88
Malaysia,WPRO,120.92,14.53,101.66,3.07
Singapore,WPRO,120.92,14.53,103.86,1.29
China,WPRO,120.92,14.53,116.33,39.92
