Australian_Airport,International,Australian_lon,Australian_lat,International_lon,International_lat
Indonesia,SEARO,77.33,28.76,106.77,-6.18
Maldives,SEARO,77.33,28.76,73.46,4.14
Sri Lanka,SEARO,77.33,28.76,79.84,6.93
Thailand,SEARO,77.33,28.76,100.58,13.72
Bangladesh,SEARO,77.33,28.76,90.44,23.8
Bhutan,SEARO,77.33,28.76,89.54,27.48
Myanmar,SEARO,77.33,28.76,96.1,19.75
Nepal,SEARO,77.33,28.76,85.33,27.71
Timor-Leste,SEARO,77.33,28.76,125.6,-8.65
