individual,group,预防举措,value
西太平洋,NO.4-Zika,卫生清洁,0
Mister 28,NO.4-Zika,卫生清洁,
Mister 29,NO.4-Zika,卫生清洁,
Mister 30,NO.4-Zika,卫生清洁,
世卫总部,NO.5-EVD,卫生清洁,0
非洲,NO.5-EVD,卫生清洁,5
美洲,NO.5-EVD,卫生清洁,0
东南亚,NO.5-EVD,卫生清洁,0
欧洲,NO.5-EVD,卫生清洁,0
东地中海,NO.5-EVD,卫生清洁,0
西太平洋,NO.5-EVD,卫生清洁,0
Mister 38,NO.5-EVD,卫生清洁,
Mister 39,NO.5-EVD,卫生清洁,
Mister 40,NO.5-EVD,卫生清洁,
世卫总部,NO.6-COVID-19,卫生清洁,78
非洲,NO.6-COVID-19,卫生清洁,6
美洲,NO.6-COVID-19,卫生清洁,2
东南亚,NO.6-COVID-19,卫生清洁,8
欧洲,NO.6-COVID-19,卫生清洁,0
东地中海,NO.6-COVID-19,卫生清洁,39
西太平洋,NO.6-COVID-19,卫生清洁,31
Mister 48,NO.6-COVID-19,卫生清洁,
Mister 49,NO.6-COVID-19,卫生清洁,
Mister 50,NO.6-COVID-19,卫生清洁,
世卫总部,NO.2-WPV,饮食卫生,0
美洲,NO.2-WPV,饮食卫生,0
东南亚,NO.2-WPV,饮食卫生,0
欧洲,NO.2-WPV,饮食卫生,0
东地中海,NO.2-WPV,饮食卫生,0
西太平洋,NO.2-WPV,饮食卫生,0
Mister 7,NO.2-WPV,饮食卫生,
Mister 8,NO.2-WPV,饮食卫生,
Mister 9,NO.2-WPV,饮食卫生,
非洲,NO.2-WPV,饮食卫生,0
世卫总部,NO.3-EVD,饮食卫生,16
非洲,NO.3-EVD,饮食卫生,0
美洲,NO.3-EVD,饮食卫生,0
东南亚,NO.3-EVD,饮食卫生,0
欧洲,NO.3-EVD,饮食卫生,0
东地中海,NO.3-EVD,饮食卫生,0
西太平洋,NO.3-EVD,饮食卫生,0
Mister 18,NO.3-EVD,饮食卫生,
Mister 19,NO.3-EVD,饮食卫生,
Mister 20,NO.3-EVD,饮食卫生,
世卫总部,NO.4-Zika,饮食卫生,0
非洲,NO.4-Zika,饮食卫生,0
美洲,NO.4-Zika,饮食卫生,14
东南亚,NO.4-Zika,饮食卫生,0
欧洲,NO.4-Zika,饮食卫生,0
东地中海,NO.4-Zika,饮食卫生,0
西太平洋,NO.4-Zika,饮食卫生,0
Mister 28,NO.4-Zika,饮食卫生,
Mister 29,NO.4-Zika,饮食卫生,
Mister 30,NO.4-Zika,饮食卫生,
世卫总部,NO.5-EVD,饮食卫生,2
非洲,NO.5-EVD,饮食卫生,0
美洲,NO.5-EVD,饮食卫生,0
东南亚,NO.5-EVD,饮食卫生,0
欧洲,NO.5-EVD,饮食卫生,0
东地中海,NO.5-EVD,饮食卫生,0
西太平洋,NO.5-EVD,饮食卫生,0
Mister 38,NO.5-EVD,饮食卫生,
Mister 39,NO.5-EVD,饮食卫生,
Mister 40,NO.5-EVD,饮食卫生,
世卫总部,NO.6-COVID-19,饮食卫生,150
非洲,NO.6-COVID-19,饮食卫生,4
美洲,NO.6-COVID-19,饮食卫生,5
东南亚,NO.6-COVID-19,饮食卫生,5
欧洲,NO.6-COVID-19,饮食卫生,3
东地中海,NO.6-COVID-19,饮食卫生,98
西太平洋,NO.6-COVID-19,饮食卫生,48
Mister 48,NO.6-COVID-19,饮食卫生,
Mister 49,NO.6-COVID-19,饮食卫生,
Mister 50,NO.6-COVID-19,饮食卫生,
世卫总部,NO.2-WPV,医疗诊疗,2
美洲,NO.2-WPV,医疗诊疗,1
东南亚,NO.2-WPV,医疗诊疗,0
欧洲,NO.2-WPV,医疗诊疗,0
东地中海,NO.2-WPV,医疗诊疗,0
西太平洋,NO.2-WPV,医疗诊疗,0
Mister 7,NO.2-WPV,医疗诊疗,
Mister 8,NO.2-WPV,医疗诊疗,
Mister 9,NO.2-WPV,医疗诊疗,
非洲,NO.2-WPV,医疗诊疗,0
世卫总部,NO.3-EVD,医疗诊疗,69
非洲,NO.3-EVD,医疗诊疗,4
美洲,NO.3-EVD,医疗诊疗,1
东南亚,NO.3-EVD,医疗诊疗,0
欧洲,NO.3-EVD,医疗诊疗,0
东地中海,NO.3-EVD,医疗诊疗,0
西太平洋,NO.3-EVD,医疗诊疗,0
Mister 18,NO.3-EVD,医疗诊疗,
Mister 19,NO.3-EVD,医疗诊疗,
Mister 20,NO.3-EVD,医疗诊疗,
世卫总部,NO.4-Zika,医疗诊疗,10
非洲,NO.4-Zika,医疗诊疗,0
美洲,NO.4-Zika,医疗诊疗,35
东南亚,NO.4-Zika,医疗诊疗,0
欧洲,NO.4-Zika,医疗诊疗,0
东地中海,NO.4-Zika,医疗诊疗,2
西太平洋,NO.4-Zika,医疗诊疗,0
Mister 28,NO.4-Zika,医疗诊疗,
Mister 29,NO.4-Zika,医疗诊疗,
Mister 30,NO.4-Zika,医疗诊疗,
世卫总部,NO.5-EVD,医疗诊疗,59
非洲,NO.5-EVD,医疗诊疗,46
美洲,NO.5-EVD,医疗诊疗,1
东南亚,NO.5-EVD,医疗诊疗,0
欧洲,NO.5-EVD,医疗诊疗,0
东地中海,NO.5-EVD,医疗诊疗,0
西太平洋,NO.5-EVD,医疗诊疗,0
Mister 38,NO.5-EVD,医疗诊疗,
Mister 39,NO.5-EVD,医疗诊疗,
Mister 40,NO.5-EVD,医疗诊疗,
世卫总部,NO.6-COVID-19,医疗诊疗,64
非洲,NO.6-COVID-19,医疗诊疗,4
美洲,NO.6-COVID-19,医疗诊疗,4
东南亚,NO.6-COVID-19,医疗诊疗,8
欧洲,NO.6-COVID-19,医疗诊疗,5
东地中海,NO.6-COVID-19,医疗诊疗,31
西太平洋,NO.6-COVID-19,医疗诊疗,42
Mister 48,NO.6-COVID-19,医疗诊疗,
Mister 49,NO.6-COVID-19,医疗诊疗,
Mister 50,NO.6-COVID-19,医疗诊疗,
世卫总部,NO.2-WPV,疫苗免疫,43
美洲,NO.2-WPV,疫苗免疫,17
东南亚,NO.2-WPV,疫苗免疫,0
欧洲,NO.2-WPV,疫苗免疫,1
东地中海,NO.2-WPV,疫苗免疫,17
西太平洋,NO.2-WPV,疫苗免疫,0
Mister 7,NO.2-WPV,疫苗免疫,
Mister 8,NO.2-WPV,疫苗免疫,
Mister 9,NO.2-WPV,疫苗免疫,
非洲,NO.2-WPV,疫苗免疫,6
世卫总部,NO.3-EVD,疫苗免疫,11
非洲,NO.3-EVD,疫苗免疫,0
美洲,NO.3-EVD,疫苗免疫,0
东南亚,NO.3-EVD,疫苗免疫,0
欧洲,NO.3-EVD,疫苗免疫,0
东地中海,NO.3-EVD,疫苗免疫,0
西太平洋,NO.3-EVD,疫苗免疫,0
Mister 18,NO.3-EVD,疫苗免疫,
Mister 19,NO.3-EVD,疫苗免疫,
Mister 20,NO.3-EVD,疫苗免疫,
世卫总部,NO.4-Zika,疫苗免疫,11
非洲,NO.4-Zika,疫苗免疫,0
美洲,NO.4-Zika,疫苗免疫,10
东南亚,NO.4-Zika,疫苗免疫,0
欧洲,NO.4-Zika,疫苗免疫,0
东地中海,NO.4-Zika,疫苗免疫,2
西太平洋,NO.4-Zika,疫苗免疫,0
Mister 28,NO.4-Zika,疫苗免疫,
Mister 29,NO.4-Zika,疫苗免疫,
Mister 30,NO.4-Zika,疫苗免疫,
世卫总部,NO.5-EVD,疫苗免疫,66
非洲,NO.5-EVD,疫苗免疫,80
美洲,NO.5-EVD,疫苗免疫,0
东南亚,NO.5-EVD,疫苗免疫,0
欧洲,NO.5-EVD,疫苗免疫,0
东地中海,NO.5-EVD,疫苗免疫,0
西太平洋,NO.5-EVD,疫苗免疫,0
Mister 38,NO.5-EVD,疫苗免疫,
Mister 39,NO.5-EVD,疫苗免疫,
Mister 40,NO.5-EVD,疫苗免疫,
世卫总部,NO.6-COVID-19,疫苗免疫,5
非洲,NO.6-COVID-19,疫苗免疫,0
美洲,NO.6-COVID-19,疫苗免疫,0
东南亚,NO.6-COVID-19,疫苗免疫,0
欧洲,NO.6-COVID-19,疫苗免疫,0
东地中海,NO.6-COVID-19,疫苗免疫,0
西太平洋,NO.6-COVID-19,疫苗免疫,4
Mister 48,NO.6-COVID-19,疫苗免疫,
Mister 49,NO.6-COVID-19,疫苗免疫,
Mister 50,NO.6-COVID-19,疫苗免疫,
