Australian_Airport,International,Australian_lon,Australian_lat,International_lon,International_lat
世卫非洲区域办事处,AFRO,6.14,46.21,15.7,-4.27
世卫东南亚区域办事处,SEARO,6.14,46.21,77.33,28.76
世卫美洲区域办事处,AMRO,6.14,46.21,-76.41,38.87
世卫欧洲区域办事处,EURO,6.14,46.21,12.58,55.7
世卫东地中海区域办事处,EMRO,6.14,46.21,31.4,30.19
世卫西太平洋区域办事处,WPRO,6.14,46.21,120.92,14.53
